reference	sources
啟示錄 5:13	99-to-spain.md
啟示錄 7	11-future-of-israel.md
啟示錄 7:9	11-future-of-israel.md, 15-christs-example-mission.md
希伯來書 10:10	12-living-sacrifice.md
希伯來書 10:10-14	12-living-sacrifice.md
希伯來書 10:14	03-universal-sin-justification.md
希伯來書 10:38	01-gospel-and-condemnation.md
希伯來書 10:4	12-living-sacrifice.md
希伯來書 7:27	12-living-sacrifice.md
希伯來書 9	03-universal-sin-justification.md
彼得前書 2	13-submission-to-authority.md
彼得前書 2:23	12-living-sacrifice.md
彼得前書 2:5	12-living-sacrifice.md
彼得後書 3:9	02-righteous-judgment.md
提多書 3:5	02-righteous-judgment.md
提摩太前書 3	16-greetings-conclusion.md
提摩太前書 3:8-13	16-greetings-conclusion.md
提摩太前書 6:15	13-submission-to-authority.md
提摩太後書 4:1	02-righteous-judgment.md
撒母耳記下 22:50	15-christs-example-mission.md
歌羅西書 1:15	01-gospel-and-condemnation.md
歌羅西書 2:16	14-weak-and-strong.md
瑪拉基書 1:2-3	09-sovereign-election.md
申命記 21:23	01-gospel-and-condemnation.md
申命記 29:4	11-future-of-israel.md
申命記 30	10-faith-and-mission.md
申命記 30:11-14	10-faith-and-mission.md
申命記 30:12-14	10-faith-and-mission.md
申命記 30:6	02-righteous-judgment.md
申命記 32	15-christs-example-mission.md
申命記 32:21	10-faith-and-mission.md, 11-future-of-israel.md
申命記 32:35	12-living-sacrifice.md
申命記 32:43	15-christs-example-mission.md
申命記 6:5	13-submission-to-authority.md
申命記 7:7-8	09-sovereign-election.md
箴言 25:21-22	12-living-sacrifice.md
約伯記 41:11	11-future-of-israel.md
約書亞記 1:16	15-christs-example-mission.md
約珥書 2:32	10-faith-and-mission.md
約翰三書 12	16-greetings-conclusion.md
約翰福音 100	00-overview.md
約翰福音 12:42-43	10-faith-and-mission.md
約翰福音 15:25	03-universal-sin-justification.md
約翰福音 20:31	00c-gospel-spine.md
約翰福音 347	01-gospel-and-condemnation.md, 02-righteous-judgment.md, 04-abrahams-faith.md, 05-fruits-of-justification.md, 06-united-with-christ.md, 09-sovereign-election.md, 10-faith-and-mission.md, 12-living-sacrifice.md, 13-submission-to-authority.md, 14-weak-and-strong.md, 15-christs-example-mission.md, 16-greetings-conclusion.md
約翰福音 3:30	000-preface.md
約翰福音 5:22	14-weak-and-strong.md
約翰福音 5:47	04-abrahams-faith.md
約翰福音 60	00c-gospel-spine.md
約翰福音 74	00c-gospel-spine.md
羅馬書 1	00c-gospel-spine.md, 01-gospel-and-condemnation.md, 03-universal-sin-justification.md, 04-abrahams-faith.md, 11-future-of-israel.md
羅馬書 10	10-faith-and-mission.md
羅馬書 10:1-21	10-faith-and-mission.md
羅馬書 10:14-17	01-gospel-and-condemnation.md
羅馬書 10:19	11-future-of-israel.md
羅馬書 10:4	00c-gospel-spine.md, 02-righteous-judgment.md
羅馬書 10:6-8	10-faith-and-mission.md
羅馬書 10:8-15	10-faith-and-mission.md
羅馬書 10:9-10	00b-systematic-reception.md
羅馬書 11	11-future-of-israel.md
羅馬書 11:1-36	11-future-of-israel.md
羅馬書 11:16-29	11-future-of-israel.md
羅馬書 11:25	16-greetings-conclusion.md
羅馬書 11:33-36	16-greetings-conclusion.md
羅馬書 11:36	00-overview.md, 11-future-of-israel.md
羅馬書 11:6	04-abrahams-faith.md
羅馬書 11:9-10	00-overview.md
羅馬書 12	13-submission-to-authority.md, 15-christs-example-mission.md
羅馬書 12:1	12-living-sacrifice.md
羅馬書 12:1-2	12-living-sacrifice.md
羅馬書 12:1-21	12-living-sacrifice.md
羅馬書 13	13-submission-to-authority.md
羅馬書 13:1-14	13-submission-to-authority.md
羅馬書 13:1-5	13-submission-to-authority.md
羅馬書 13:12	13-submission-to-authority.md
羅馬書 13:13	00a-romans-position.md
羅馬書 13:13-14	13-submission-to-authority.md
羅馬書 13:14	13-submission-to-authority.md
羅馬書 13:3	13-submission-to-authority.md
羅馬書 13:9-10	13-submission-to-authority.md
羅馬書 14	14-weak-and-strong.md
羅馬書 14:1-23	14-weak-and-strong.md
羅馬書 14:17	14-weak-and-strong.md
羅馬書 14:6-8	14-weak-and-strong.md
羅馬書 14:8	12-living-sacrifice.md
羅馬書 15	15-christs-example-mission.md
